741,g,bench_graphs/graph_edges_99.dot,x,3,0,5
742,e,bench_graphs/graph_edges_99.dot,x,3,20,5
743,h,bench_graphs/graph_edges_99.dot,x,3,20,5
744,g,bench_graphs/graph_edges_149.dot,x,5,0,5
745,e,bench_graphs/graph_edges_149.dot,x,5,20,5
746,h,bench_graphs/graph_edges_149.dot,x,5,20,5
747,g,bench_graphs/graph_edges_199.dot,x,7,0,5
748,e,bench_graphs/graph_edges_199.dot,x,7,20,5
749,h,bench_graphs/graph_edges_199.dot,x,7,20,5
750,g,bench_graphs/graph_edges_249.dot,x,7,0,5
751,e,bench_graphs/graph_edges_249.dot,x,7,20,5
752,h,bench_graphs/graph_edges_249.dot,x,7,20,5
753,g,bench_graphs/graph_edges_299.dot,x,9,0,5
754,e,bench_graphs/graph_edges_299.dot,x,9,20,5
755,h,bench_graphs/graph_edges_299.dot,x,9,20,5
756,g,bench_graphs/graph_edges_349.dot,x,9,0,5
757,e,bench_graphs/graph_edges_349.dot,x,9,20,5
758,h,bench_graphs/graph_edges_349.dot,x,9,20,5
759,g,bench_graphs/graph_edges_399.dot,x,11,0,5
760,e,bench_graphs/graph_edges_399.dot,x,11,20,5
761,h,bench_graphs/graph_edges_399.dot,x,11,20,5
762,g,bench_graphs/graph_edges_449.dot,x,11,0,5
763,e,bench_graphs/graph_edges_449.dot,x,11,20,5
764,h,bench_graphs/graph_edges_449.dot,x,11,20,5
765,g,bench_graphs/graph_edges_499.dot,x,13,0,5
766,e,bench_graphs/graph_edges_499.dot,x,13,20,5
767,h,bench_graphs/graph_edges_499.dot,x,13,20,5
768,g,bench_graphs/graph_edges_549.dot,x,13,0,5
769,e,bench_graphs/graph_edges_549.dot,x,13,20,5
770,h,bench_graphs/graph_edges_549.dot,x,13,20,5
771,g,bench_graphs/graph_edges_599.dot,x,15,0,5
772,e,bench_graphs/graph_edges_599.dot,x,15,20,5
773,h,bench_graphs/graph_edges_599.dot,x,15,20,5
774,g,bench_graphs/graph_edges_649.dot,x,17,0,5
775,e,bench_graphs/graph_edges_649.dot,x,17,20,5
776,h,bench_graphs/graph_edges_649.dot,x,17,20,5
777,g,bench_graphs/graph_edges_699.dot,x,17,0,5
778,e,bench_graphs/graph_edges_699.dot,x,17,20,5
779,h,bench_graphs/graph_edges_699.dot,x,17,20,5
780,g,bench_graphs/graph_edges_749.dot,x,17,0,5
781,e,bench_graphs/graph_edges_749.dot,x,17,20,5
782,h,bench_graphs/graph_edges_749.dot,x,17,20,5
783,g,bench_graphs/graph_edges_799.dot,x,19,0,5
784,e,bench_graphs/graph_edges_799.dot,x,19,20,5
785,h,bench_graphs/graph_edges_799.dot,x,19,20,5
786,g,bench_graphs/graph_edges_849.dot,x,21,0,5
787,e,bench_graphs/graph_edges_849.dot,x,21,20,5
788,h,bench_graphs/graph_edges_849.dot,x,21,20,5
789,g,bench_graphs/graph_edges_899.dot,x,21,0,5
790,e,bench_graphs/graph_edges_899.dot,x,21,20,5
791,h,bench_graphs/graph_edges_899.dot,x,21,20,5
792,g,bench_graphs/graph_edges_949.dot,x,23,0,5
793,e,bench_graphs/graph_edges_949.dot,x,23,20,5
794,h,bench_graphs/graph_edges_949.dot,x,23,20,5
795,g,bench_graphs/graph_edges_999.dot,x,23,0,5
796,e,bench_graphs/graph_edges_999.dot,x,23,20,5
797,h,bench_graphs/graph_edges_999.dot,x,23,20,5
798,g,bench_graphs/graph_edges_1049.dot,x,25,0,5
799,e,bench_graphs/graph_edges_1049.dot,x,25,20,5
800,h,bench_graphs/graph_edges_1049.dot,x,25,20,5
801,g,bench_graphs/graph_edges_1099.dot,x,27,0,5
802,e,bench_graphs/graph_edges_1099.dot,x,27,20,5
803,h,bench_graphs/graph_edges_1099.dot,x,27,20,5
804,g,bench_graphs/graph_edges_1149.dot,x,27,0,5
805,e,bench_graphs/graph_edges_1149.dot,x,27,20,5
806,h,bench_graphs/graph_edges_1149.dot,x,27,20,5
807,g,bench_graphs/graph_edges_1199.dot,x,29,0,5
808,e,bench_graphs/graph_edges_1199.dot,x,29,20,5
809,h,bench_graphs/graph_edges_1199.dot,x,29,20,5
810,g,bench_graphs/graph_edges_1249.dot,x,29,0,5
811,e,bench_graphs/graph_edges_1249.dot,x,29,20,5
812,h,bench_graphs/graph_edges_1249.dot,x,29,20,5
813,g,bench_graphs/graph_edges_1299.dot,x,32,0,5
814,e,bench_graphs/graph_edges_1299.dot,x,32,20,5
815,h,bench_graphs/graph_edges_1299.dot,x,32,20,5
816,g,bench_graphs/graph_edges_1349.dot,x,32,0,5
817,e,bench_graphs/graph_edges_1349.dot,x,32,20,5
818,h,bench_graphs/graph_edges_1349.dot,x,32,20,5
819,g,bench_graphs/graph_edges_1399.dot,x,33,0,5
820,e,bench_graphs/graph_edges_1399.dot,x,33,20,5
821,h,bench_graphs/graph_edges_1399.dot,x,33,20,5
822,g,bench_graphs/graph_edges_1449.dot,x,34,0,5
823,e,bench_graphs/graph_edges_1449.dot,x,34,20,5
824,h,bench_graphs/graph_edges_1449.dot,x,34,20,5
825,g,bench_graphs/graph_edges_1499.dot,x,36,0,5
826,e,bench_graphs/graph_edges_1499.dot,x,36,20,5
827,h,bench_graphs/graph_edges_1499.dot,x,36,20,5
828,g,bench_graphs/graph_edges_1549.dot,x,37,0,5
829,e,bench_graphs/graph_edges_1549.dot,x,37,20,5
830,h,bench_graphs/graph_edges_1549.dot,x,37,20,5
831,g,bench_graphs/graph_edges_1599.dot,x,37,0,5
832,e,bench_graphs/graph_edges_1599.dot,x,37,20,5
833,h,bench_graphs/graph_edges_1599.dot,x,37,20,5
834,g,bench_graphs/graph_edges_1649.dot,x,41,0,5
835,e,bench_graphs/graph_edges_1649.dot,x,41,20,5
836,h,bench_graphs/graph_edges_1649.dot,x,41,20,5
837,g,bench_graphs/graph_edges_1699.dot,x,40,0,5
838,e,bench_graphs/graph_edges_1699.dot,x,40,20,5
839,h,bench_graphs/graph_edges_1699.dot,x,40,20,5
840,g,bench_graphs/graph_edges_1749.dot,x,41,0,5
841,e,bench_graphs/graph_edges_1749.dot,x,41,20,5
842,h,bench_graphs/graph_edges_1749.dot,x,41,20,5
843,g,bench_graphs/graph_edges_1799.dot,x,42,0,5
844,e,bench_graphs/graph_edges_1799.dot,x,42,20,5
845,h,bench_graphs/graph_edges_1799.dot,x,42,20,5
846,g,bench_graphs/graph_edges_1849.dot,x,43,0,5
847,e,bench_graphs/graph_edges_1849.dot,x,43,20,5
848,h,bench_graphs/graph_edges_1849.dot,x,43,20,5
849,g,bench_graphs/graph_edges_1899.dot,x,44,0,5
850,e,bench_graphs/graph_edges_1899.dot,x,44,20,5
851,h,bench_graphs/graph_edges_1899.dot,x,44,20,5
852,g,bench_graphs/graph_edges_1949.dot,x,45,0,5
853,e,bench_graphs/graph_edges_1949.dot,x,45,20,5
854,h,bench_graphs/graph_edges_1949.dot,x,45,20,5
855,g,bench_graphs/graph_edges_1999.dot,x,46,0,5
856,e,bench_graphs/graph_edges_1999.dot,x,46,20,5
857,h,bench_graphs/graph_edges_1999.dot,x,46,20,5
858,g,bench_graphs/graph_edges_2049.dot,x,50,0,5
859,e,bench_graphs/graph_edges_2049.dot,x,50,20,5
860,h,bench_graphs/graph_edges_2049.dot,x,50,20,5
861,g,bench_graphs/graph_edges_2099.dot,x,50,0,5
862,e,bench_graphs/graph_edges_2099.dot,x,50,20,5
863,h,bench_graphs/graph_edges_2099.dot,x,50,20,5
864,g,bench_graphs/graph_edges_2149.dot,x,52,0,5
865,e,bench_graphs/graph_edges_2149.dot,x,52,20,5
866,h,bench_graphs/graph_edges_2149.dot,x,52,20,5
867,g,bench_graphs/graph_edges_2199.dot,x,52,0,5
868,e,bench_graphs/graph_edges_2199.dot,x,52,20,5
869,h,bench_graphs/graph_edges_2199.dot,x,52,20,5
870,g,bench_graphs/graph_edges_2249.dot,x,53,0,5
871,e,bench_graphs/graph_edges_2249.dot,x,53,20,5
872,h,bench_graphs/graph_edges_2249.dot,x,53,20,5
873,g,bench_graphs/graph_edges_2299.dot,x,53,0,5
874,e,bench_graphs/graph_edges_2299.dot,x,53,20,5
875,h,bench_graphs/graph_edges_2299.dot,x,53,20,5
876,g,bench_graphs/graph_edges_2349.dot,x,55,0,5
877,e,bench_graphs/graph_edges_2349.dot,x,55,20,5
878,h,bench_graphs/graph_edges_2349.dot,x,55,20,5
879,g,bench_graphs/graph_edges_2399.dot,x,54,0,5
880,e,bench_graphs/graph_edges_2399.dot,x,54,20,5
881,h,bench_graphs/graph_edges_2399.dot,x,54,20,5
882,g,bench_graphs/graph_edges_2449.dot,x,56,0,5
883,e,bench_graphs/graph_edges_2449.dot,x,56,20,5
884,h,bench_graphs/graph_edges_2449.dot,x,56,20,5
885,g,bench_graphs/graph_edges_2499.dot,x,58,0,5
