1,0.34,0.005,0.006
2,0.346,0.005,0.005
3,0.348,0.004,0.004
4,1.882,0.005,0.004
5,0.434,0.004,0.005
6,0.444,0.004,0.005
7,0.431,0.005,0.004
8,1.196,0.004,0.004
9,0.336,0.004,0.005
10,0.334,0.004,0.005
12,1.345,0.004,0.004
13,0.731,0.004,0.004
14,1.214,0.005,0.004
15,1.073,0.004,0.004
16,0.343,0.004,0.004
17,0.34,0.005,0.005
18,1.766,0.005,0.004
19,0.776,0.004,0.004
20,1.512,0.005,0.005
21,0.362,0.005,0.004
22,0.361,0.004,0.004
23,0.353,0.004,0.004
24,0.905,0.004,0.004
25,4.187,0.004,0.004
26,0.688,0.005,0.004
27,0.927,0.004,0.004
28,0.925,0.004,0.005
29,2.056,0.004,0.005
30,0.51,0.005,0.004
31,2.084,0.004,0.004
32,0.82,0.004,0.005
33,2.476,0.005,0.005
34,2.793,0.004,0.005
35,0.39,0.004,0.005
36,2.768,0.004,0.004
37,2.382,0.006,0.005
38,0.866,0.005,0.004
40,1.272,0.004,0.004
41,4.502,0.004,0.005
42,1.19,0.003,0.004
43,1.443,0.005,0.005
44,0.465,0.004,0.004
45,0.461,0.005,0.004
46,0.289,0.005,0.005
47,0.287,0.004,0.005
48,0.3,0.004,0.004
49,1.61,0.004,0.004
50,0.705,0.005,0.004
51,1.351,0.005,0.006
52,0.526,0.005,0.005
53,2.18,0.004,0.005
54,1.178,0.004,0.006
55,1.428,0.005,0.004
56,0.716,0.004,0.005
57,1.06,0.004,0.004
58,1.334,0.006,0.004
59,0.32,0.005,0.005
60,0.319,0.004,0.004
61,0.321,0.007,0.004
62,0.319,0.005,0.005
63,0.724,0.004,0.005
64,1.812,0.004,0.004
65,0.936,0.004,0.004
66,0.943,0.005,0.005
67,0.654,0.004,0.005
68,0.809,0.005,0.004
69,1.181,0.004,0.005
70,0.729,0.004,0.005
71,2.429,0.005,0.003
72,0.81,0.005,0.003
73,4.776,0.005,0.005
74,0.776,0.004,0.005
75,0.77,0.004,0.005
76,2.018,0.005,0.004
77,2.539,0.005,0.004
78,3.649,0.005,0.004
79,2.365,0.004,0.004
80,0.749,0.005,0.005
81,1.19,0.004,0.004
82,3.464,0.005,0.004
83,3.849,0.005,0.004
84,1.449,0.004,0.004
85,0.855,0.005,0.004
86,3.732,0.004,0.004
87,1.89,0.005,0.004
88,1.42,0.004,0.005
89,0.523,0.005,0.004
91,1.166,0.004,0.004
92,0.507,0.004,0.004
93,1.328,0.004,0.005
94,0.944,0.004,0.004
95,0.987,0.004,0.004
96,0.273,0.005,0.005
97,0.271,0.004,0.005
98,1.488,0.004,0.005
99,0.403,0.004,0.004
100,3.889,0.005,0.004
101,1.768,0.005,0.004
103,3.066,0.004,0.004
104,1.913,0.004,0.005
106,0.129,0.004,0.004
107,0.129,0.005,0.004
108,0.128,0.005,0.004
109,0.129,0.004,0.005
110,0.13,0.004,0.004
111,1.066,0.005,0.004
112,1.366,0.005,0.005
113,0.372,0.004,0.006
114,0.369,0.004,0.004
117,2.898,0.005,0.004
118,0.293,0.005,0.004
119,2.04,0.005,0.006
121,2.289,0.005,0.004
122,0.487,0.004,0.005
123,0.491,0.003,0.004
124,0.355,0.005,0.004
125,0.359,0.004,0.004
126,1.072,0.004,0.004
127,1.528,0.006,0.004
128,0.905,0.004,0.005
129,1.124,0.004,0.005
130,3.034,0.004,0.004
131,1.371,0.004,0.004
132,0.368,0.004,0.004
133,0.368,0.006,0.004
134,0.374,0.004,0.004
135,1.741,0.005,0.004
136,3.711,0.005,0.004
137,1.079,0.007,0.005
138,1.045,0.004,0.004
139,3.761,0.004,0.004
140,1.126,0.004,0.004
141,0.401,0.005,0.004
142,2.087,0.006,0.005
143,1.418,0.004,0.004
144,3.028,0.004,0.004
145,3.351,0.005,0.005
146,0.873,0.005,0.005
147,0.863,0.004,0.004
148,1.952,0.004,0.004
149,0.92,0.005,0.004
